iter	Logloss
0	0.6894096062
1	0.6858204345
2	0.6827538331
3	0.6799264198
4	0.6774002383
5	0.6749516354
6	0.672675417
7	0.6707333325
8	0.6688232031
9	0.6672553517
10	0.6657919808
11	0.6643384223
12	0.6631112426
13	0.6620435746
14	0.6608148833
15	0.659755428
16	0.6587335306
17	0.6576944131
18	0.6568305672
19	0.6560614959
20	0.6553049292
21	0.6546090775
22	0.6538443493
23	0.653177409
24	0.6525674703
25	0.6520981059
26	0.6515717279
27	0.6510913439
28	0.6506777534
29	0.6502744922
30	0.6498567119
31	0.6494251521
32	0.6490428003
33	0.6486518842
34	0.6482936994
35	0.6479421104
36	0.6475425131
37	0.6472441895
38	0.6469052595
39	0.6466543244
40	0.6463639079
41	0.64613599
42	0.6459024527
43	0.6456714891
44	0.6454561478
45	0.6451997212
46	0.6450145231
47	0.6448342818
48	0.6446248946
49	0.6444383998
50	0.644209697
51	0.644057789
52	0.643830566
53	0.643674662
54	0.6434931168
55	0.6433084375
56	0.6431680292
57	0.6430082455
58	0.6428753925
59	0.6427397395
60	0.6425817345
61	0.6424557433
62	0.6423411164
63	0.6422356384
64	0.6421240549
65	0.6419869887
66	0.6418419572
67	0.6417498142
68	0.6416777178
69	0.641576397
70	0.6414766251
71	0.6413791574
72	0.6413563038
73	0.6412383589
74	0.6411374444
75	0.641041545
76	0.640957936
77	0.6408977515
78	0.6407733507
79	0.6406450453
80	0.6405623917
81	0.6404621301
82	0.6403716191
83	0.6403060216
84	0.6402272658
85	0.64016837
86	0.640086601
87	0.6399946513
88	0.6398961695
89	0.6398558294
90	0.6397812172
91	0.6397061579
92	0.6396030579
93	0.6395224831
94	0.6394381295
95	0.6393730248
96	0.6393127592
97	0.6392592898
98	0.6391870009
99	0.6391046953
100	0.63902309
101	0.6389482641
102	0.6388936044
103	0.6388355745
104	0.6387669352
105	0.6387093277
106	0.6386284995
107	0.6385758413
108	0.6385048442
109	0.6384436417
110	0.6383831309
111	0.6383036564
112	0.6382217257
113	0.63812286
114	0.6380596079
115	0.6380193924
116	0.6379679479
117	0.6379088533
118	0.6378401205
119	0.6377914237
120	0.6377579517
121	0.6377087649
122	0.637663188
123	0.6376233557
124	0.6375657242
125	0.6374997605
126	0.6374761927
127	0.6374332065
128	0.6373888955
129	0.6373355904
130	0.6372843562
131	0.6372458063
132	0.6371709356
133	0.6371266014
134	0.6370930518
135	0.6370580576
136	0.6370011302
137	0.6369465403
138	0.636901882
139	0.6368620232
140	0.6368345085
141	0.6367875495
142	0.6367579291
143	0.6367148427
144	0.6366594406
145	0.6366254434
146	0.6365553524
147	0.6364640181
148	0.6364113047
149	0.6364063099
150	0.6363592074
151	0.6363237222
152	0.6362959629
153	0.6362534142
154	0.636226312
155	0.636218379
156	0.636178072
157	0.6361208346
158	0.6360887931
159	0.6360381844
160	0.6359958783
161	0.6359625102
162	0.6358996899
163	0.6358703747
164	0.6358294306
165	0.6357903969
166	0.6357435805
167	0.6356956345
168	0.6356546126
169	0.6356285987
170	0.6355857648
171	0.6355593358
