iter	Passed	Remaining
0	725	579385
1	1325	528852
2	1830	486220
3	2442	486000
4	3340	531153
5	3890	514815
6	4707	533263
7	5261	520929
8	6014	528605
9	6666	526632
10	7277	521974
11	7880	517504
12	8458	512036
13	8979	504129
14	9494	496895
15	10030	491513
16	11060	509440
17	11768	511255
18	12274	504546
19	13043	508686
20	13827	512932
21	14485	512267
22	15077	509346
23	15896	513973
24	16466	510468
25	17218	512589
26	17989	515035
27	18663	514589
28	19213	510813
29	20158	517394
30	21181	525446
31	21915	525961
32	22797	529863
33	23673	533347
34	24690	539671
35	25655	544459
36	26340	543189
37	27046	542347
38	27843	543314
39	28470	540941
40	29310	542602
41	30178	544641
42	30987	545521
43	31911	548289
44	32690	548477
45	33410	547649
46	34037	545323
47	34627	542496
48	35078	537634
49	35839	537597
50	36456	535406
51	37247	535784
52	38027	535977
53	38655	534018
54	39625	536742
55	40155	533498
56	40665	530074
