iter	Passed	Remaining
0	248	123996
1	460	114660
2	662	109675
3	894	110915
4	1228	121594
5	1464	120563
6	1668	117499
7	1861	114471
8	2116	115481
9	2319	113676
10	2531	112548
11	2745	111662
12	2956	110765
13	3153	109479
14	3360	108669
15	3564	107828
16	3776	107300
17	3958	105986
18	4158	105270
19	4379	105115
20	4606	105062
21	4783	103937
22	5019	104096
23	5227	103683
24	5499	104486
25	5709	104080
26	5956	104342
27	6215	104783
28	6441	104621
29	6671	104520
30	6868	103911
31	7063	103301
32	7300	103306
33	7517	103037
34	7709	102421
35	7911	101974
36	8153	102034
37	8383	101923
38	8603	101695
39	8813	101351
40	9029	101091
41	9258	100963
42	9456	100499
43	9628	99788
44	9852	99623
45	10058	99277
46	10255	98843
47	10445	98359
48	10645	97981
49	10839	97552
50	11037	97173
51	11212	96595
52	11398	96136
53	11610	95891
54	11821	95646
55	12026	95351
56	12212	94912
57	12401	94506
58	12608	94241
59	12803	93889
60	13009	93623
61	13186	93159
62	13427	93141
63	13656	93035
64	13839	92615
65	14068	92512
66	14292	92369
67	14519	92241
68	14718	91937
69	14932	91727
70	15139	91475
71	15328	91120
72	15551	90964
73	15759	90722
74	15935	90300
75	16111	89885
76	16304	89566
77	16527	89419
78	16728	89146
79	16956	89021
80	17181	88876
81	17421	88807
82	17672	88787
83	17921	88755
84	18150	88615
85	18366	88416
86	18574	88176
87	18800	88019
88	18969	87599
89	19159	87282
90	19334	86898
91	19538	86648
92	19733	86359
93	19912	86005
94	20093	85661
95	20308	85464
96	20496	85153
97	20652	84718
98	20837	84402
99	21077	84309
100	21267	84018
101	21488	83845
102	21740	83795
103	21993	83744
104	22209	83549
105	22439	83406
106	22647	83181
107	22857	82963
108	23064	82735
109	23313	82657
110	23528	82456
111	23733	82217
112	23972	82101
113	24194	81922
114	24394	81669
115	24578	81363
116	24785	81135
117	25014	80978
118	25225	80763
119	25449	80590
120	25652	80348
121	25843	80072
122	26008	79716
123	26206	79463
124	26394	79184
125	26584	78908
126	26813	78751
127	27044	78598
128	27240	78342
129	27441	78103
130	27624	77811
131	27849	77640
132	28052	77407
133	28230	77106
134	28433	76876
135	28664	76718
136	28834	76402
137	29079	76280
138	29286	76060
139	29506	75872
140	29695	75607
141	29901	75386
142	30128	75215
143	30328	74979
144	30539	74768
145	30760	74583
146	30970	74371
147	31194	74191
148	31415	74006
149	31655	73862
150	31982	73918
151	32186	73690
152	32363	73399
153	32545	73120
154	32743	72880
155	32930	72616
156	33118	72355
157	33318	72119
158	33519	71888
159	33721	71658
160	33960	71506
161	34196	71347
162	34377	71073
163	34634	70959
164	34863	70782
165	35066	70556
166	35280	70350
167	35518	70191
168	35837	70189
169	36119	70114
170	36348	69933
171	36642	69876
172	36849	69651
173	37135	69575
174	37358	69380
175	37550	69126
176	37748	68885
177	37984	68713
178	38187	68480
179	38373	68219
180	38618	68061
181	38809	67810
182	39022	67596
183	39265	67433
184	39505	67266
185	39709	67037
186	39892	66771
187	40125	66591
188	40317	66341
189	40574	66201
190	40823	66044
191	41075	65892
192	41322	65731
193	41514	65481
194	41724	65262
195	41939	65049
196	42136	64808
197	42338	64576
198	42587	64416
199	42816	64224
200	43009	63979
201	43204	63737
202	43411	63512
203	43627	63303
204	43866	63125
205	44072	62899
206	44285	62684
207	44537	62523
208	44766	62329
209	45007	62152
210	45179	61881
211	45384	61654
212	45573	61406
213	45795	61203
214	46034	61022
215	46233	60788
216	46428	60549
217	46620	60307
218	46847	60110
219	47077	59916
220	47252	59653
221	47463	59436
222	47702	59254
223	47887	59004
224	48103	58792
225	48315	58577
226	48515	58346
227	48724	58127
228	48951	57929
229	49133	57678
230	49305	57416
231	49567	57258
232	49747	57006
233	49927	56755
234	50111	56508
235	50328	56299
236	50548	56094
237	50751	55868
238	50954	55644
239	51153	55416
240	51367	55204
241	51569	54978
242	51760	54742
243	51928	54482
244	52130	54258
245	52294	53995
246	52561	53838
247	52793	53645
248	52988	53413
249	53187	53187
250	53379	52954
251	53620	52769
252	53782	52506
253	54025	52324
254	54233	52106
255	54442	51890
256	54622	51647
257	54819	51420
258	55033	51208
259	55252	51002
260	55443	50770
261	55689	50588
262	55876	50352
263	56099	50149
264	56314	49939
265	56567	49762
266	56785	49554
267	57011	49353
268	57240	49154
269	57422	48915
270	57632	48700
271	57898	48532
272	58153	48355
273	58352	48129
274	58623	47964
275	58846	47759
276	59095	47574
277	59300	47354
278	59528	47153
279	59737	46936
280	59958	46729
281	60201	46538
282	60444	46347
283	60644	46123
284	60876	45924
285	61163	45765
286	61402	45570
287	61620	45359
288	61817	45133
289	62056	44937
290	62324	44761
291	62585	44581
292	62820	44381
293	63076	44196
294	63335	44012
295	63534	43787
296	63812	43615
297	64048	43415
298	64302	43227
299	64542	43028
300	64768	42820
301	65007	42620
302	65245	42420
303	65493	42225
304	65717	42016
305	65982	41832
306	66219	41630
307	66443	41419
308	66697	41227
309	66891	40997
310	67084	40768
311	67334	40573
312	67522	40340
313	67750	40132
314	67974	39921
315	68220	39723
316	68440	39510
317	68650	39290
318	68878	39081
319	69091	38864
320	69320	38655
321	69532	38437
322	69800	38249
323	70000	38025
324	70246	37824
325	70495	37626
326	70726	37418
327	70943	37201
328	71205	37009
329	71429	36797
330	71652	36584
